recordingId,LCId,rearId,ttc,LCLanelet,rearLanelet,start_frame,end_frame
00,22,27,7.76,"[1679, 1685, 1689, 1696, 1776, 1779, 1912, 1916, 1917, 1949]","[1678, 1685, 1689, 1696, 1776, 1779, 1911, 1916, 1949]",91,470
00,36,44,37.19,"[1679, 1685, 1686, 1689, 1696, 1776, 1779, 1912, 1917, 1949]","[1678, 1685, 1689, 1696, 1776, 1779, 1911, 1916, 1949]",274,690
00,42,55,21.28,"[1650, 1659, 1664, 1672, 1675, 1746, 1756, 1762, 1767, 1903, 1906, 1907, 1920, 1922]","[1649, 1658, 1663, 1672, 1675, 1745, 1755, 1761, 1766, 1902, 1906, 1921]",323,799
00,52,61,19.86,"[1650, 1659, 1664, 1672, 1675, 1746, 1756, 1762, 1767, 1902, 1903, 1906, 1920, 1922]","[1649, 1658, 1663, 1672, 1675, 1745, 1755, 1761, 1766, 1902, 1906, 1921]",423,927
00,57,61,19.86,"[1650, 1659, 1664, 1673, 1675, 1676, 1746, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]","[1649, 1658, 1663, 1672, 1675, 1745, 1755, 1761, 1766, 1902, 1906, 1921]",489,927
00,68,71,-1,"[1651, 1659, 1664, 1673, 1676, 1747, 1756, 1757, 1762, 1767, 1903, 1907, 1910, 1920, 1922]","[1650, 1659, 1664, 1673, 1676, 1746, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]",725,1191
00,77,82,13.14,"[1637, 1660, 1665, 1673, 1676, 1751, 1754, 1760, 1765, 1900, 1901, 1903, 1904, 1907, 1910, 1924, 1925]","[1650, 1659, 1664, 1673, 1676, 1746, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]",856,1348
00,80,87,7.15,"[1636, 1637, 1660, 1665, 1673, 1676, 1751, 1754, 1760, 1765, 1900, 1901, 1903, 1904, 1907, 1910, 1924]","[1650, 1659, 1664, 1673, 1676, 1746, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]",906,1417
00,96,104,3358.94,"[1649, 1659, 1664, 1672, 1673, 1675, 1745, 1755, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]","[1649, 1658, 1663, 1672, 1675, 1745, 1755, 1761, 1766, 1902, 1906, 1921]",1201,1645
00,106,111,21.24,"[1636, 1637, 1660, 1665, 1673, 1676, 1751, 1754, 1760, 1765, 1900, 1901, 1903, 1904, 1907, 1910, 1924]","[1659, 1664, 1673, 1676, 1746, 1756, 1762, 1767, 1903, 1907, 1910, 1920, 1922]",1333,1842
